,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10 000,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10 000 to $14 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15 000 to $24 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25 000 to $34 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35 000 to $49 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50 000 to $74 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75 000 to $99 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100 000 to $149 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150 000 to $199 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200 000 or more
180,21120,MD,39.6,-76.7,1,407001,24,005,0.8,0.7,4.7,4.4,11.7,11.4,17.2,16.9,14.5,17.7
181,21218,MD,39.33,-76.6,1,090300,24,510,15.6,7.0,16.0,7.2,10.6,10.1,15.4,14.1,2.6,1.3
182,21229,MD,39.28,-76.69,1,250102,24,510,6.6,2.4,9.5,11.9,20.4,29.9,10.2,5.4,3.4,0.2
183,21230,MD,39.26,-76.62,1,230300,24,510,0.5,3.2,6.2,1.1,7.3,11.6,15.5,27.5,14.9,12.3
184,21409,MD,39.02,-76.45,1,730902,24,003,2.8,2.5,1.0,2.2,3.5,9.1,8.4,13.0,20.6,36.8
185,21601,MD,38.8,-76.0,2,960100,24,041,3.8,3.6,3.4,6.2,12.7,15.2,17.0,26.4,5.8,5.8
186,21702,MD,39.5,-77.5,1,770700,24,021,5.4,1.6,2.0,1.1,5.6,12.7,11.1,26.0,16.8,17.7
187,21704,MD,39.34,-77.38,1,752204,24,021,2.5,1.8,2.1,4.5,2.3,8.9,8.1,24.3,22.3,23.2
188,21740,MD,39.6,-77.7,1,011100,24,043,7.4,5.9,10.2,11.1,15.1,22.4,9.6,10.5,5.6,2.2
189,21773,MD,39.54,-77.56,1,752802,24,021,2.7,1.7,4.6,5.6,8.0,14.8,18.5,23.9,8.2,12.0
190,21802,MD,38.3,-75.5,1,010605,24,045,2.4,2.3,6.1,1.8,12.5,17.8,17.8,13.5,10.5,15.4
191,21921,MD,39.6,-75.9,2,030903,24,015,6.6,5.3,9.6,16.3,12.6,11.2,18.5,13.5,,2.4
192,22031,VA,38.86,-77.26,1,440100,51,059,0.8,0.3,2.0,3.2,5.6,7.0,9.2,20.0,15.6,36.5
193,22043,VA,38.9,-77.19,2,471000,51,059,1.9,0.8,2.0,1.8,2.3,4.8,12.3,27.1,14.8,32.2
194,22101,VA,38.94,-77.16,6,470400,51,059,2.0,0.6,3.3,2.5,3.2,4.4,7.2,12.3,10.9,53.6
195,22124,VA,38.89,-77.33,4,481600,51,059,4.1,1.7,0.0,1.7,3.7,2.4,3.2,12.4,14.7,56.0
196,22152,VA,38.78,-77.23,1,430801,51,059,1.1,0.6,1.0,5.1,2.7,12.0,9.4,23.1,28.4,16.7
197,22153,VA,38.74,-77.23,10,432600,51,059,0.7,0.0,0.0,2.3,2.9,4.2,10.0,26.3,20.0,33.6
198,22180,VA,38.9,-77.25,1,460800,51,059,2.1,0.0,0.7,1.5,3.3,8.7,7.9,22.3,12.9,40.7
199,22182,VA,38.94,-77.27,4,460100,51,059,0.7,0.0,1.9,0.8,3.6,8.5,7.1,13.5,10.4,53.6
200,22201,VA,38.89,-77.1,4,101500,51,013,2.6,1.3,3.1,3.4,4.0,16.7,12.9,19.6,7.8,28.5
201,22206,VA,38.84,-77.09,1,102902,51,013,1.9,0.0,1.6,4.4,3.1,23.0,14.8,22.7,13.9,14.7
202,22207,VA,38.91,-77.12,2,100300,51,013,0.6,0.0,0.0,2.9,3.0,5.4,8.0,21.0,11.3,47.8
203,22304,VA,38.81,-77.13,1,200405,51,510,2.7,1.1,5.3,9.3,11.9,22.4,18.9,17.1,7.4,3.8
204,22305,VA,38.84,-77.06,1,201203,51,510,8.3,0.3,12.9,13.1,12.3,16.9,11.1,11.4,8.8,4.9
205,22308,VA,38.75,-77.06,1,415500,51,059,9.8,2.2,9.9,5.7,7.6,8.6,5.2,14.1,12.7,24.2
206,22485,VA,38.3,-77.2,1,040300,51,099,2.3,2.6,1.9,2.2,9.9,17.4,25.7,23.8,9.3,5.0
207,22553,VA,38.3,-77.6,1,020106,51,177,2.6,0.5,3.1,8.4,12.7,13.9,11.5,22.7,8.7,15.9
208,22655,VA,39.06,-78.23,1,050801,51,069,2.9,0.5,10.2,7.2,13.8,24.6,12.4,19.5,5.0,3.8
209,22901,AZ,38.1,-78.6,1,010100,51,003,3.1,2.7,7.7,5.8,9.6,20.8,11.2,17.3,7.8,14.0
210,22923,VA,38.2,-78.3,1,110300,51,137,,5.5,10.3,9.0,11.0,19.9,12.2,18.0,6.7,0.9
211,22980,VA,38.1,-78.9,1,070600,51,015,4.1,3.7,6.0,9.1,16.8,17.0,16.6,13.1,5.5,8.0
212,23059,VA,37.7,-77.5,1,200406,51,087,1.3,0.6,3.0,6.5,10.0,21.8,14.4,22.9,9.8,9.8
213,23060,VA,37.66,-77.53,1,200413,51,087,0.6,0.6,3.4,4.3,8.0,23.1,12.9,26.6,11.0,9.5
214,23112,VA,37.44,-77.68,1,100912,51,041,2.6,1.6,3.5,6.6,8.7,17.5,15.5,28.7,10.4,5.0
215,23116,VA,37.7,-77.3,1,321401,51,085,5.3,1.6,2.7,2.7,15.8,13.1,22.0,13.9,7.4,15.6
216,23185,VA,37.2,-76.7,1,860100,51,181,6.6,11.9,10.5,7.9,13.1,17.5,11.2,17.4,0.9,3.1
217,23225,VA,37.52,-77.5,5,071100,51,760,7.5,5.6,10.6,9.0,16.2,27.8,9.9,11.6,1.4,0.6
218,23235,VA,37.54,-77.57,1,070100,51,760,6.9,1.1,4.9,4.1,9.6,13.6,14.7,22.9,9.4,12.7
219,23322,VA,36.6,-76.3,2,021200,51,550,1.7,0.0,3.0,3.3,9.5,23.1,14.0,23.8,9.5,12.1
220,23451,VA,36.86,-76.03,1,044402,51,810,1.8,2.3,9.9,8.5,11.4,20.5,10.7,20.5,7.8,6.5
221,23505,VA,36.93,-76.29,1,000902,51,710,1.9,3.0,14.4,24.7,19.4,18.7,9.2,4.5,3.9,0.2
222,23507,VA,36.87,-76.31,1,003800,51,710,7.3,4.1,3.8,2.4,15.9,19.4,12.8,12.7,11.9,9.7
223,24012,VA,37.32,-79.9,1,031202,51,161,1.3,3.0,6.1,4.4,9.7,23.7,16.9,21.0,10.9,3.0
224,24401,VA,38.1,-79.1,1,070900,51,015,5.4,9.6,5.9,7.2,11.6,24.0,13.3,14.6,5.1,3.4
225,24459,VA,38.0,-79.3,1,071000,51,015,6.8,6.7,10.9,8.3,13.6,25.9,9.2,14.6,1.2,3.0
226,24502,VA,37.36,-79.21,2,001600,51,680,13.5,6.0,13.4,11.1,14.4,20.2,9.4,9.4,1.0,1.6
227,24874,WV,37.6,-81.5,1,003100,54,109,6.2,2.8,22.8,11.1,14.5,15.9,9.9,15.0,1.8,0.0
228,25314,WV,38.31,-81.66,1,001902,54,039,8.9,3.3,5.0,5.0,5.4,10.9,9.5,17.8,9.8,24.5
229,26062,WV,40.42,-80.57,1,020700,54,029,8.3,3.7,7.1,19.2,17.5,17.7,16.2,9.6,0.0,0.7
230,26105,WV,39.33,-81.51,1,010102,54,107,4.0,7.5,9.4,7.6,10.9,14.9,13.1,20.2,7.4,4.8
231,26508,WV,39.6,-79.9,1,011803,54,061,7.2,4.5,9.7,6.4,7.5,25.3,16.5,10.2,6.6,6.2
232,27012,NC,36.01,-80.37,1,004015,37,067,5.6,2.5,8.5,15.5,8.5,17.3,13.3,20.6,4.1,4.1
233,27104,NC,36.1,-80.32,1,003906,37,067,1.7,2.0,4.3,2.4,5.3,13.3,16.4,18.5,15.2,21.1
234,27455,NC,36.18,-79.82,1,015600,37,081,2.1,1.9,4.9,7.7,6.4,15.0,18.2,15.3,12.8,15.6
235,27502,NC,35.7,-78.9,1,053413,37,183,2.8,2.5,2.9,5.3,5.5,9.1,13.5,26.9,10.8,20.7
236,27513,NC,35.8,-78.8,4,053522,37,183,3.2,1.5,5.4,3.0,6.4,13.5,16.6,26.4,11.7,12.3
237,27516,NC,35.9,-79.2,2,011203,37,135,1.2,4.4,4.3,9.4,14.5,18.4,19.8,16.3,6.3,5.4
238,27519,NC,35.81,-78.89,1,053411,37,183,0.4,0.5,2.4,3.7,6.9,7.7,8.9,17.0,21.1,31.4
239,27539,NC,35.7,-78.8,1,053421,37,183,1.0,1.2,2.5,2.6,10.5,13.2,16.3,20.7,11.8,20.2
240,27607,NC,35.81,-78.71,1,052401,37,183,5.4,1.0,9.4,9.5,12.6,22.3,10.7,15.8,5.3,7.9
241,27703,NC,35.94,-78.8,1,001808,37,063,2.1,0.7,1.4,5.9,7.3,11.3,23.8,25.9,13.7,7.9
242,27858,NC,35.5,-77.3,1,001100,37,147,6.8,7.2,11.2,4.9,12.4,14.8,22.1,16.2,1.5,2.8
243,28027,NC,35.4,-80.7,1,041303,37,025,1.9,1.0,0.0,5.7,5.6,8.4,17.5,23.2,11.9,24.9
244,28031,NC,35.47,-80.89,3,006208,37,119,2.1,1.3,2.7,2.7,17.0,23.4,17.1,21.7,4.7,7.4
245,28036,NC,35.48,-80.8,3,006404,37,119,0.5,0.4,1.6,0.4,3.3,8.0,9.6,18.2,14.1,44.0
246,28056,NC,35.2,-81.1,1,033307,37,071,6.6,4.3,8.5,12.9,17.3,20.8,9.3,14.6,4.6,1.2
247,28078,NC,35.4,-80.9,1,006214,37,119,1.0,0.0,2.1,5.1,10.7,19.8,16.8,25.7,13.8,4.9
248,28104,NC,35.1,-80.7,1,005835,37,119,2.5,0.7,2.9,2.4,5.8,14.3,17.0,32.6,13.8,8.2
249,28117,NC,35.57,-80.89,2,061405,37,097,1.1,0.0,5.8,4.7,10.7,13.8,12.7,22.3,15.3,13.8
250,28203,NC,35.21,-80.86,4,003400,37,119,1.5,2.9,3.2,2.2,3.3,14.5,10.2,23.6,9.4,29.2
251,28204,NC,35.22,-80.83,1,002500,37,119,4.5,1.2,8.1,3.0,9.3,26.5,15.8,16.5,5.8,9.2
252,28216,NC,35.31,-80.9,1,006104,37,119,3.3,4.8,5.7,6.8,19.3,22.9,15.7,15.1,3.2,3.1
253,28226,NC,35.11,-80.83,1,003008,37,119,1.5,2.8,13.5,5.7,14.2,15.6,5.2,20.5,10.5,10.6
254,28278,NC,35.1,-81.0,2,005910,37,119,3.7,0.5,6.8,6.9,16.9,30.0,16.7,15.6,2.2,0.9
255,28692,NC,36.3,-81.8,1,920200,37,189,8.2,8.7,8.9,7.1,19.1,17.7,14.3,11.0,3.3,1.7
256,28704,NC,35.46,-82.57,1,002301,37,021,3.0,5.0,8.0,8.1,12.1,19.6,10.3,17.5,6.1,10.3
257,28705,NC,36.0,-82.2,1,950200,37,121,9.8,8.8,14.7,9.2,16.3,23.5,11.8,5.1,0.3,0.4
258,28711,NC,35.6,-82.3,1,003102,37,021,4.3,4.0,17.7,14.5,17.4,22.5,5.2,11.6,1.9,0.7
259,28714,NC,35.9,-82.3,1,960300,37,199,7.8,6.7,17.0,18.8,14.9,13.2,10.6,5.5,4.2,1.1
260,28779,NC,35.3,-83.2,1,950600,37,099,17.4,11.0,15.0,4.4,12.9,15.9,15.8,6.5,1.0,0.1
261,28787,NC,35.7,-82.5,1,002703,37,021,2.1,4.6,9.8,7.8,14.8,26.6,11.3,12.6,4.7,5.8
262,28805,NC,35.62,-82.49,2,003001,37,021,4.0,8.4,13.0,11.7,15.4,15.8,13.9,12.2,3.0,2.5
263,28806,NC,35.6,-82.6,1,001400,37,021,4.9,8.9,23.8,15.9,16.9,12.9,9.4,5.8,0.9,0.5
264,29201,SC,33.98,-81.02,1,011701,45,079,17.6,15.2,15.6,11.4,18.8,9.2,4.8,4.0,3.1,0.2
265,29401,SC,32.78,-79.93,1,005100,45,019,14.4,4.2,11.1,4.7,6.8,10.7,7.7,17.8,5.7,16.7
266,29464,SC,32.82,-79.86,1,004606,45,019,5.7,0.3,8.9,10.7,5.1,11.7,12.1,14.3,7.3,23.7
267,29576,SC,33.56,-79.08,1,920502,45,043,4.7,8.8,12.8,11.6,21.9,13.3,7.3,9.4,3.9,6.1
268,29607,SC,34.84,-82.38,1,004300,45,045,21.2,13.1,14.3,18.7,7.1,10.2,8.1,3.1,1.7,2.5
269,29617,SC,34.91,-82.47,2,003701,45,045,13.4,2.6,10.4,9.9,17.9,15.6,11.7,12.1,4.0,2.5
270,29620,SC,34.2,-82.4,1,950400,45,001,14.4,8.0,15.2,11.9,8.0,22.0,5.3,10.9,2.8,1.6
271,29651,SC,34.9,-82.2,2,023202,45,083,5.6,5.6,13.3,7.0,14.7,24.7,16.3,9.7,1.0,2.2
272,29681,SC,34.76,-82.22,2,003009,45,045,3.4,0.0,2.2,4.0,9.5,19.6,19.8,24.7,12.0,4.7
273,29902,SC,32.38,-80.7,2,000800,45,013,5.9,5.2,10.7,11.4,26.6,17.1,7.4,11.0,4.0,0.8
274,30019,GA,34.0,-83.9,5,050607,13,135,2.1,1.9,0.8,1.6,6.4,22.9,25.1,24.6,8.6,6.0
275,30067,GA,33.93,-84.46,2,030320,13,067,3.7,0.5,2.4,9.2,13.4,16.4,12.2,10.7,12.6,19.0
276,30114,GA,34.3,-84.5,1,090200,13,057,3.7,1.4,9.9,9.5,9.9,19.6,15.8,21.8,4.6,3.7
277,30124,GA,34.14,-85.35,1,002000,13,115,5.9,7.0,14.4,12.9,16.9,18.2,9.7,12.0,1.1,1.8
278,30145,GA,34.2,-85.0,1,961000,13,015,2.7,4.3,13.4,6.9,13.2,23.8,10.3,16.6,5.5,3.4
279,30284,GA,33.41,-84.3,1,070501,13,151,2.6,6.7,9.0,10.2,17.9,30.1,15.2,8.3,0.0,0.0
280,30309,GA,33.8,-84.39,1,000500,13,121,3.6,2.8,3.4,6.1,17.2,12.0,10.7,18.4,6.4,19.3
281,30319,GA,33.86,-84.35,2,010002,13,121,1.9,0.7,1.9,6.5,5.8,8.6,10.6,15.2,11.3,37.4
282,30328,GA,33.93,-84.4,1,010205,13,121,4.1,5.8,1.1,5.9,9.7,12.6,3.3,19.9,13.8,24.0
283,30622,GA,33.9,-83.5,1,030100,13,219,2.2,0.1,5.7,6.2,13.7,18.6,10.6,21.6,9.6,11.8
284,30736,GA,34.9,-85.1,1,030100,13,047,6.3,4.8,8.6,7.2,14.4,22.9,18.3,12.3,0.6,4.6
285,31088,GA,32.58,-83.65,1,021105,13,153,5.9,2.0,13.5,15.1,17.8,12.4,12.8,13.4,6.6,0.4
286,31220,GA,32.88,-83.81,1,013605,13,021,4.1,6.1,8.7,6.0,18.7,25.8,11.3,13.3,3.8,2.3
287,31324,GA,31.9,-81.3,1,920306,13,029,4.4,2.8,2.2,9.0,7.0,11.6,15.4,25.9,14.8,6.8
288,32059,FL,30.4,-83.3,1,110400,12,079,10.1,6.3,20.3,9.5,14.4,16.2,9.6,10.4,2.0,1.1
289,32082,FL,30.1,-81.4,1,020602,12,109,3.0,1.9,4.6,5.4,9.7,19.5,11.4,17.2,16.8,10.4
290,32092,FL,29.9,-81.5,2,021004,12,109,3.1,2.3,8.0,9.0,19.4,23.2,15.6,11.2,4.1,4.2
291,32129,FL,29.13,-81.02,1,082506,12,127,11.9,6.6,17.4,15.7,12.7,18.1,7.5,9.9,0.0,0.1
292,32259,FL,30.1,-81.6,1,020805,12,109,2.3,2.3,1.2,3.3,2.7,9.4,18.5,23.9,22.7,13.7
293,32303,FL,30.52,-84.33,1,002208,12,073,2.6,4.5,8.5,12.7,15.3,25.0,12.9,11.5,4.2,2.8
294,32401,FL,30.16,-85.67,1,002200,12,005,15.8,7.9,17.5,16.7,12.1,15.0,10.0,4.9,0.0,0.0
295,32536,FL,30.7,-86.7,1,020100,12,091,2.4,3.0,11.4,11.7,15.6,16.8,13.2,20.7,2.8,2.5
296,32708,FL,28.68,-81.27,1,021403,12,117,1.0,5.5,4.1,8.6,5.4,14.6,18.1,20.5,9.8,12.4
297,32714,FL,28.67,-81.42,25,021606,12,117,0.8,1.3,17.0,15.2,14.3,22.3,9.9,11.6,4.5,3.2
298,32746,FL,28.76,-81.36,1,020805,12,117,2.7,1.9,3.1,4.5,8.6,15.4,15.1,26.2,11.1,11.4
299,32751,FL,28.63,-81.36,1,015601,12,095,1.8,3.2,3.0,0.0,7.4,12.5,13.0,24.4,13.5,21.2
300,32836,FL,28.41,-81.52,1,017108,12,095,3.3,2.7,8.2,5.2,7.7,15.5,16.1,11.0,10.2,20.0
301,32934,FL,28.15,-80.73,2,071301,12,009,3.1,3.6,4.8,8.1,12.7,15.8,16.3,22.2,7.5,5.8
302,32952,FL,28.3,-80.7,1,062800,12,009,7.9,3.8,7.4,3.9,22.3,20.4,10.6,8.9,6.0,8.8
303,33160,FL,25.94,-80.14,3,000132,12,086,10.7,10.4,17.8,10.5,14.0,13.9,7.7,10.9,2.4,1.8
304,33186,FL,25.66,-80.41,1,018900,12,086,4.9,4.7,7.8,5.1,7.8,14.1,14.4,22.6,8.8,9.9
305,33311,FL,26.13,-80.16,1,041500,12,011,27.1,12.8,19.3,18.9,14.6,2.3,1.9,3.0,0.0,0.0
306,33328,FL,26.07,-80.27,1,070209,12,011,3.1,0.0,3.5,4.6,7.3,8.6,11.3,34.4,15.9,11.2
307,33332,FL,26.04,-80.47,1,980000,12,011,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
308,33405,FL,26.68,-80.06,1,003300,12,099,10.5,13.1,9.4,15.2,14.8,15.6,4.7,15.7,0.5,0.5
309,33527,FL,27.97,-82.22,1,012402,12,057,7.2,9.7,9.2,16.5,12.6,18.9,9.5,11.0,1.9,3.4
310,33538,FL,28.8,-82.2,1,451000,12,017,4.6,10.2,17.9,14.9,13.1,16.1,12.5,6.9,2.9,1.0
311,33556,FL,28.2,-82.6,2,031701,12,101,7.5,7.2,8.6,12.7,9.0,15.8,15.6,14.7,5.9,3.0
312,33702,FL,27.85,-82.63,4,024411,12,103,4.0,5.6,8.2,7.3,9.0,15.8,15.2,15.2,9.6,10.1
313,33921,FL,26.83,-82.28,1,030402,12,015,4.9,6.3,6.5,4.5,10.8,19.8,12.3,12.6,11.1,11.1
314,33922,FL,26.66,-82.14,1,070101,12,071,9.3,12.4,9.3,10.6,22.3,10.8,11.8,8.4,3.6,1.6
315,34102,FL,26.13,-81.8,1,000101,12,021,7.1,4.0,9.9,5.1,15.1,11.0,10.4,13.5,8.1,15.8
316,34110,FL,26.3,-81.79,1,010102,12,021,2.4,2.4,7.4,7.8,12.7,17.0,15.1,11.3,8.8,15.2
317,34134,FL,26.36,-81.85,1,060300,12,071,4.2,3.2,8.2,5.2,19.3,16.0,6.7,12.6,6.3,18.5
318,34223,FL,26.98,-82.37,1,002603,12,115,3.9,6.4,14.4,8.0,19.0,18.0,10.7,11.9,1.4,6.2
319,34436,FL,28.7,-82.3,2,451300,12,017,3.5,6.6,21.8,13.0,12.5,23.1,11.9,4.8,2.1,0.7
320,34470,FL,29.2,-82.09,2,002002,12,083,11.8,7.5,22.3,12.6,22.8,12.7,3.0,4.1,3.2,0.0
321,34480,FL,29.1,-82.1,1,002402,12,083,11.8,1.0,6.4,13.5,6.7,15.1,10.5,12.6,7.4,14.9
322,34639,FL,28.3,-82.4,1,032001,12,101,3.1,1.7,5.9,3.2,8.2,17.7,20.0,22.3,7.1,10.7
323,34655,FL,28.23,-82.63,1,031707,12,101,2.9,1.0,8.4,5.5,15.0,26.4,15.9,14.2,4.8,5.8
324,34711,FL,28.5,-81.8,1,031311,12,069,6.2,2.5,8.0,15.2,13.4,29.9,11.3,9.7,3.3,0.5
325,34747,FL,28.32,-81.59,1,040802,12,097,6.7,2.5,6.0,11.4,13.5,32.0,13.3,10.4,2.9,1.4
326,34758,FL,28.2,-81.5,1,041100,12,097,9.1,6.6,10.7,15.8,23.0,21.4,4.8,5.2,2.7,0.8
327,34786,FL,28.48,-81.56,1,017105,12,095,1.4,1.7,4.9,3.3,8.0,15.5,14.1,23.2,12.2,15.8
328,34787,FL,28.5,-81.6,2,017105,12,095,1.4,1.7,4.9,3.3,8.0,15.5,14.1,23.2,12.2,15.8
329,34949,FL,27.5,-80.31,2,381204,12,111,6.3,3.7,11.6,11.8,12.1,16.3,12.2,11.4,5.9,8.8
330,34996,FL,27.2,-80.19,1,000502,12,085,3.3,1.2,4.3,7.5,2.6,16.0,9.9,20.6,7.5,27.0
331,34997,FL,27.1,-80.3,1,001700,12,085,2.0,2.8,9.3,8.2,12.6,18.3,11.9,11.4,13.1,10.4
332,36527,AL,30.7,-87.9,1,010701,01,003,4.0,3.4,7.6,4.2,8.3,18.4,17.5,16.2,9.1,11.5
333,36532,AL,30.5,-87.9,1,011202,01,003,2.7,4.7,6.0,17.0,16.8,17.0,10.3,15.3,4.5,5.6
334,36559,AL,30.572,-87.897,2,010800,01,003,2.3,9.5,11.3,10.7,8.8,14.0,14.2,11.8,6.2,11.3
335,37069,TN,35.99,-86.91,2,050406,47,187,2.9,1.2,1.6,2.2,4.9,10.3,11.3,22.6,16.0,27.1
336,37087,TN,36.3,-86.3,1,030101,47,189,1.4,4.0,7.2,7.6,15.1,22.0,13.5,19.3,3.0,6.8
337,37122,TN,36.2,-86.5,4,030309,47,189,4.8,2.9,11.6,5.3,14.7,14.0,18.5,15.1,7.9,5.3
338,37203,TN,36.15,-86.79,1,016300,47,037,14.4,5.1,17.3,15.5,7.7,12.7,6.1,13.1,5.0,3.2
339,37205,TN,36.11,-86.87,1,018203,47,037,3.8,1.1,3.1,2.7,5.6,9.3,8.2,22.9,8.9,34.4
340,37212,TN,36.13,-86.8,3,016900,47,037,3.2,0.6,4.8,6.1,13.7,11.4,13.8,16.5,13.4,16.4
341,37221,TN,36.06,-86.96,1,018407,47,037,1.8,2.0,0.5,6.5,7.5,20.0,17.8,23.6,8.8,11.4
342,37388,TN,35.3,-86.2,1,960201,47,051,3.5,3.3,12.6,7.2,14.7,19.8,15.3,17.4,1.4,4.7
343,37604,TN,36.3,-82.38,1,060502,47,179,8.9,6.0,16.7,12.9,16.6,20.7,7.3,8.1,0.8,2.2
344,37694,TN,36.38,-82.28,1,071100,47,019,10.4,12.6,10.2,15.6,17.0,21.2,7.5,3.9,0.9,0.6
345,37774,TN,35.7,-84.4,1,060700,47,105,4.3,8.2,8.9,19.2,11.0,23.0,7.3,10.0,6.9,1.0
346,37830,TN,36.0,-84.3,1,020100,47,001,16.3,6.6,17.6,10.7,15.7,13.2,6.0,9.0,3.6,1.2
347,38011,TN,35.5,-89.7,1,040500,47,167,1.8,3.2,7.7,9.4,15.4,21.8,20.2,15.2,3.5,1.8
348,38138,TN,35.08,-89.79,1,021341,47,157,3.6,1.5,1.3,4.8,3.7,15.0,10.0,16.2,20.0,23.9
349,38231,TN,36.22,-88.42,1,969800,47,079,4.5,7.6,20.3,13.8,18.4,14.6,10.1,6.1,1.1,3.5
350,38871,MS,34.33,-89.19,1,950200,28,115,7.5,8.9,10.4,10.8,13.4,23.1,11.9,10.1,3.0,0.9
351,39090,MS,33.1,-89.5,1,060100,28,007,5.4,9.3,7.5,17.3,17.7,19.6,16.1,5.2,0.1,1.9
352,40202,KY,38.25,-85.75,1,005900,21,111,27.6,18.4,18.9,8.2,14.3,4.2,5.8,1.8,0.7,0.0
353,40218,KY,38.19,-85.66,1,011301,21,111,15.2,8.4,15.8,8.8,15.6,17.3,8.0,7.6,0.7,2.5
354,40223,KY,38.26,-85.54,16,010406,21,111,5.7,4.0,7.0,7.3,13.1,14.2,8.9,17.0,9.2,13.6
355,40241,KY,38.31,-85.58,1,010318,21,111,8.7,0.2,7.5,4.5,10.1,21.8,11.4,20.2,7.9,7.7
356,40245,KY,38.26,-85.46,2,010307,21,111,1.3,0.0,2.8,1.8,6.5,8.6,12.7,27.2,20.1,18.9
357,40258,KY,38.14,-85.86,1,012406,21,111,2.6,4.1,15.3,8.9,26.6,20.8,10.1,8.9,1.4,1.4
358,40299,KY,38.2,-85.5,1,011601,21,111,2.8,1.6,0.9,5.6,5.0,12.7,12.1,26.4,16.3,16.7
359,40324,KY,38.3,-84.6,1,040603,21,209,1.2,6.1,5.7,10.0,5.1,21.5,27.3,15.4,5.7,2.1
360,41005,KY,39.0,-84.8,2,070502,21,015,1.3,5.4,12.7,10.1,7.7,16.4,15.9,20.0,9.2,1.3
361,41051,KY,38.93,-84.56,4,063605,21,117,3.2,0.8,2.2,7.7,10.1,23.5,25.4,19.5,6.6,1.0
362,41075,KY,39.08,-84.45,1,052301,21,037,8.7,3.2,6.8,11.1,15.0,19.9,9.6,14.7,4.4,6.8
363,42088,KY,36.6,-88.8,1,020500,21,083,10.3,4.5,15.9,9.0,23.3,18.2,7.4,8.6,1.8,1.0
364,42101,KY,37.0,-86.5,1,011200,21,227,5.7,15.7,19.1,14.8,12.2,19.6,7.4,4.9,0.6,0.0
365,42141,KY,36.9,-85.9,1,950900,21,009,10.6,8.2,8.1,6.0,17.5,19.4,17.4,9.4,2.7,0.6
366,43015,OH,40.3,-83.1,1,010520,39,041,3.3,2.5,6.8,7.8,17.5,14.8,20.9,20.1,6.3,0.0
367,43021,OH,40.21,-82.87,1,012300,39,041,6.3,1.9,7.0,7.3,8.1,22.8,12.2,21.2,6.1,7.2
368,43026,OH,40.02,-83.18,1,010601,39,049,1.1,5.3,5.5,1.9,1.5,12.3,14.3,26.6,15.3,16.2
369,43055,OH,40.1,-82.4,1,751900,39,089,8.0,6.9,18.8,7.3,16.2,22.1,7.9,9.2,1.6,2.0
370,43065,OH,40.17,-83.1,1,011900,39,041,5.3,0.0,3.1,3.3,8.2,12.9,10.6,12.3,11.7,32.5
371,43082,OH,40.16,-82.87,1,011750,39,041,0.7,0.0,2.1,2.1,3.2,14.1,5.0,25.3,17.7,29.8
372,43085,OH,40.1,-83.01,1,006722,39,049,0.8,0.9,13.2,8.0,12.9,19.7,7.0,17.6,11.6,8.2
373,43112,OH,39.8,-82.72,1,030800,39,045,0.4,0.0,5.2,7.3,4.8,14.4,19.3,25.2,11.8,11.6
374,43235,OH,40.1,-83.06,1,006387,39,049,4.0,2.5,6.8,4.8,17.2,16.2,19.6,21.0,3.7,4.2
375,43542,OH,41.57,-83.76,6,009000,39,095,2.5,0.9,3.1,11.2,8.8,17.4,10.2,22.4,10.7,12.9
376,43571,OH,41.51,-83.81,1,008901,39,095,1.9,1.8,6.9,5.5,10.8,17.1,13.6,18.9,14.9,8.6
377,44012,OH,41.5,-82.02,1,010300,39,093,3.2,4.0,4.8,9.2,6.9,28.3,9.1,23.4,5.8,5.3
378,44047,OH,41.7,-80.7,1,001302,39,007,7.6,7.3,24.7,14.0,11.8,17.0,9.0,6.3,1.5,0.6
379,44107,OH,41.48,-81.8,1,161300,39,035,10.8,4.3,13.1,7.3,13.4,20.6,11.4,9.8,5.3,4.0
380,44120,OH,41.47,-81.58,1,119900,39,035,17.4,21.6,22.3,8.1,9.1,8.8,11.9,0.0,0.0,0.8
