,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10 000,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10 000 to $14 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15 000 to $24 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25 000 to $34 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35 000 to $49 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50 000 to $74 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75 000 to $99 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100 000 to $149 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150 000 to $199 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200 000 or more
10,1770,MA,42.23,-71.37,1,386100,25,017,2.5,0.0,5.2,3.0,4.9,6.6,4.5,18.4,11.3,43.7
11,1776,MA,42.39,-71.42,1,365100,25,017,2.5,0.8,3.7,4.0,2.3,3.1,9.0,12.2,24.6,37.8
12,1833,MA,42.72,-70.98,3,265102,25,009,2.6,3.2,2.2,2.8,8.4,7.6,13.9,20.2,19.1,20.1
13,1876,MA,42.61,-71.23,1,315200,25,017,4.6,4.9,4.6,4.0,5.9,13.6,22.5,18.6,14.0,7.3
14,1886,MA,42.59,-71.44,1,318300,25,017,0.6,1.2,1.6,3.1,8.2,4.5,11.4,14.7,21.2,33.4
15,1890,MA,42.45,-71.15,1,338300,25,017,2.5,1.0,6.1,4.7,6.1,13.1,4.2,17.4,7.3,37.4
16,1906,MA,42.47,-71.01,4,208300,25,009,5.7,4.5,5.3,11.4,9.9,13.8,16.1,15.5,12.4,5.4
17,1960,MA,42.53,-70.97,2,210300,25,009,7.3,5.1,8.2,6.1,17.5,21.3,10.3,13.0,4.9,6.4
18,2048,MA,42.02,-71.22,1,610100,25,005,1.3,0.0,6.7,4.8,9.4,18.1,21.2,20.3,11.0,7.4
19,2131,MA,42.28,-71.12,1,110403,25,025,10.4,1.2,10.0,2.0,12.2,11.2,9.9,24.2,11.7,7.3
20,2138,MA,42.38,-71.13,1,354200,25,017,1.2,0.0,4.5,2.8,3.8,6.1,8.2,18.2,18.0,37.3
21,2145,MA,42.39,-71.09,1,350200,25,017,1.1,1.0,2.5,6.5,12.4,12.5,18.6,26.4,12.3,6.7
22,2176,MA,42.46,-71.06,1,336200,25,017,1.0,2.7,4.6,5.9,4.7,8.1,10.6,25.5,12.5,24.4
23,2210,MA,42.35,-71.04,1,060600,25,025,2.7,3.3,3.3,3.2,3.6,8.4,10.5,14.8,20.2,30.1
24,2421,MA,42.44,-71.23,3,358400,25,017,6.4,3.6,3.6,7.3,6.5,8.4,7.8,12.2,11.0,33.1
25,2445,MA,42.32,-71.13,4,401100,25,021,3.2,1.6,4.0,4.5,4.9,9.5,4.5,12.2,12.6,43.0
26,2459,MA,42.31,-71.19,1,373900,25,017,3.5,1.7,5.1,4.9,5.2,3.7,6.4,18.0,7.1,44.4
27,2467,MA,42.32,-71.16,1,401200,25,021,6.2,0.7,3.3,2.9,3.0,8.3,9.3,19.6,11.2,35.5
28,2492,MA,42.28,-71.25,1,403400,25,021,4.6,3.7,5.7,2.7,9.8,9.4,9.7,13.3,9.9,31.3
29,2540,MA,41.57,-70.63,1,014900,25,001,4.6,5.9,5.2,5.4,12.5,10.6,16.0,17.3,9.6,12.9
30,2563,MA,41.72,-70.48,1,013600,25,001,1.6,2.9,9.2,7.5,13.8,7.7,14.2,30.4,9.8,2.9
31,2717,MA,41.75,-70.97,1,617102,25,005,4.1,3.1,2.4,8.2,11.2,16.1,16.6,17.0,16.3,4.9
32,2813,RI,41.4,-71.66,2,051101,44,009,3.6,1.1,5.0,6.8,11.9,18.5,18.8,21.2,7.7,5.6
33,2838,RI,41.97,-71.47,3,011500,44,007,2.8,2.8,7.2,11.0,11.7,22.1,10.3,14.5,10.0,7.7
34,2906,RI,41.84,-71.39,1,003400,44,007,2.2,1.5,7.8,3.4,0.2,7.9,7.2,14.8,11.9,43.0
35,3033,NH,42.75,-71.67,1,018000,33,011,0.6,0.6,0.4,3.0,5.7,9.7,11.9,29.7,22.1,16.3
36,3256,NH,43.6,-71.6,1,965300,33,001,4.0,2.4,9.4,4.0,6.6,25.8,18.4,11.9,6.8,10.7
37,3819,NH,42.93,-71.12,1,053000,33,015,0.5,1.0,7.3,8.3,5.8,14.1,18.8,28.7,7.0,8.4
38,4949,ME,44.37,-69.33,2,045000,23,027,7.0,4.9,10.8,12.5,17.1,21.6,10.9,12.9,1.6,0.7
