,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage
55,80111,CO,39.63,-104.87,2,006854,08,005,96.4,82.6,21.7
56,80112,CO,39.56,-104.87,1,014001,08,035,94.2,85.9,14.4
57,80118,CO,39.2,-104.9,2,014403,08,035,96.5,84.2,26.2
58,80120,CO,39.6,-105.01,7,006502,08,005,85.8,58.7,34.6
59,80121,CO,39.61,-104.96,2,005636,08,005,100.0,95.4,20.7
60,80123,CO,39.61,-105.06,7,012050,08,059,97.6,84.5,20.9
61,80124,CO,39.54,-104.88,7,014116,08,035,90.4,82.7,12.8
62,80125,CA,39.5,-105.1,1,012036,08,059,97.9,90.9,16.0
63,80125,CO,39.5,-105.1,4,012036,08,059,97.9,90.9,16.0
64,80126,CO,39.53,-104.95,13,014132,08,035,98.6,93.7,10.9
65,80128,CO,39.57,-105.08,9,012055,08,059,92.8,83.2,22.9
66,80130,CO,39.53,-104.91,2,014140,08,035,97.2,90.8,12.6
67,80133,CO,39.11,-104.9,2,003701,08,041,91.2,71.4,30.6
68,80134,CO,39.5,-104.8,13,014006,08,035,97.9,94.0,10.8
69,80135,CO,39.3,-105.2,2,014300,08,035,98.7,82.5,43.4
70,80138,CO,39.5,-104.7,2,013911,08,035,95.8,90.1,13.1
71,80202,CO,39.75,-105.0,1,001701,08,031,92.1,77.6,21.0
72,80203,CO,39.73,-104.98,2,002702,08,031,94.7,79.0,21.1
73,80204,CO,39.74,-105.02,1,000800,08,031,96.4,12.2,90.9
74,80206,CO,39.73,-104.95,2,003300,08,031,94.1,85.3,18.8
75,80207,CO,39.76,-104.92,6,004104,08,031,86.9,69.1,26.6
76,80209,CA,39.71,-104.98,1,002902,08,031,98.3,89.7,15.8
