,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
191,21704,MD,39.34,-77.38,1,752204,24,021,6.4
192,21740,MD,39.6,-77.7,1,011100,24,043,10.5
193,21773,MD,39.54,-77.56,1,752802,24,021,10.5
194,21802,MD,38.3,-75.5,1,010605,24,045,9.6
195,21921,MD,39.6,-75.9,2,030903,24,015,7.4
196,22031,VA,38.86,-77.26,1,440100,51,059,12.3
197,22043,VA,38.9,-77.19,2,471000,51,059,8.4
198,22101,VA,38.94,-77.16,6,470400,51,059,10.9
199,22124,VA,38.89,-77.33,4,481600,51,059,8.5
200,22151,VA,38.8,-77.21,6,430500,51,059,11.5
201,22152,VA,38.78,-77.23,1,430801,51,059,12.5
202,22153,VA,38.74,-77.23,10,432600,51,059,20.0
203,22180,VA,38.9,-77.25,1,460800,51,059,9.2
204,22182,VA,38.94,-77.27,4,460100,51,059,9.7
205,22201,VA,38.89,-77.1,4,101500,51,013,4.2
206,22206,VA,38.84,-77.09,1,102902,51,013,12.2
207,22207,VA,38.91,-77.12,2,100300,51,013,6.8
208,22304,VA,38.81,-77.13,1,200405,51,510,8.5
209,22308,VA,38.75,-77.06,1,415500,51,059,9.8
210,22315,VA,38.75,-77.15,1,421103,51,059,19.4
211,22485,VA,38.3,-77.2,1,040300,51,099,16.7
212,22553,VA,38.3,-77.6,1,020106,51,177,13.0
213,22655,VA,39.06,-78.23,1,050801,51,069,5.9
214,22901,AZ,38.1,-78.6,1,010100,51,003,10.0
215,22923,VA,38.2,-78.3,1,110300,51,137,6.6
216,22980,VA,38.1,-78.9,1,070600,51,015,11.1
217,23059,VA,37.7,-77.5,1,200406,51,087,6.4
218,23060,VA,37.66,-77.53,1,200413,51,087,10.3
219,23112,VA,37.44,-77.68,1,100912,51,041,12.6
220,23116,VA,37.7,-77.3,1,321401,51,085,6.5
221,23185,VA,37.2,-76.7,1,860100,51,181,11.5
222,23225,VA,37.52,-77.5,5,071100,51,760,5.2
223,23235,VA,37.54,-77.57,1,070100,51,760,9.6
224,23322,VA,36.6,-76.3,2,021200,51,550,19.1
225,23451,VA,36.86,-76.03,1,044402,51,810,15.3
226,23505,VA,36.93,-76.29,1,000902,51,710,54.7
227,23507,VA,36.87,-76.31,1,003800,51,710,11.2
228,24012,VA,37.32,-79.9,1,031202,51,161,11.0
229,24401,VA,38.1,-79.1,1,070900,51,015,10.5
230,24459,VA,38.0,-79.3,1,071000,51,015,8.5
231,24502,VA,37.36,-79.21,2,001600,51,680,8.2
232,24874,WV,37.6,-81.5,1,003100,54,109,13.2
233,25314,WV,38.31,-81.66,1,001902,54,039,8.2
234,26062,WV,40.42,-80.57,1,020700,54,029,11.7
235,26105,WV,39.33,-81.51,1,010102,54,107,11.7
236,26508,WV,39.6,-79.9,1,011803,54,061,6.6
237,27012,NC,36.01,-80.37,1,004015,37,067,7.1
238,27104,NC,36.1,-80.32,1,003906,37,067,10.7
239,27455,NC,36.18,-79.82,1,015600,37,081,8.9
240,27502,NC,35.7,-78.9,1,053413,37,183,6.0
241,27513,NC,35.8,-78.8,4,053522,37,183,2.6
242,27516,NC,35.9,-79.2,2,011203,37,135,8.1
243,27519,NC,35.81,-78.89,1,053411,37,183,3.8
244,27539,NC,35.7,-78.8,1,053421,37,183,5.3
245,27607,NC,35.81,-78.71,1,052401,37,183,2.3
246,27703,NC,35.94,-78.8,1,001808,37,063,12.2
247,27858,NC,35.5,-77.3,1,001100,37,147,7.5
248,28027,NC,35.4,-80.7,1,041303,37,025,5.6
249,28031,NC,35.47,-80.89,3,006208,37,119,3.8
250,28036,NC,35.48,-80.8,3,006404,37,119,6.5
251,28056,NC,35.2,-81.1,1,033307,37,071,8.4
252,28078,NC,35.4,-80.9,1,006214,37,119,6.4
253,28104,NC,35.1,-80.7,1,005835,37,119,6.0
254,28117,NC,35.57,-80.89,2,061405,37,097,9.9
255,28203,NC,35.21,-80.86,4,003400,37,119,5.4
256,28204,NC,35.22,-80.83,1,002500,37,119,5.2
257,28216,NC,35.31,-80.9,1,006104,37,119,9.8
258,28226,NC,35.11,-80.83,1,003008,37,119,6.7
259,28278,NC,35.1,-81.0,2,005910,37,119,5.3
260,28692,NC,36.3,-81.8,1,920200,37,189,8.2
261,28704,NC,35.46,-82.57,1,002301,37,021,6.9
262,28705,NC,36.0,-82.2,1,950200,37,121,4.6
263,28711,NC,35.6,-82.3,1,003102,37,021,7.5
264,28714,NC,35.9,-82.3,1,960300,37,199,6.8
265,28779,NC,35.3,-83.2,1,950600,37,099,4.8
266,28787,NC,35.7,-82.5,1,002703,37,021,8.6
267,28805,NC,35.62,-82.49,2,003001,37,021,14.3
268,28806,NC,35.6,-82.6,1,001400,37,021,9.5
269,29201,SC,33.98,-81.02,1,011701,45,079,1.8
270,29401,SC,32.78,-79.93,1,005100,45,019,9.7
271,29464,SC,32.82,-79.86,1,004606,45,019,7.9
272,29576,SC,33.56,-79.08,1,920502,45,043,11.7
273,29607,SC,34.84,-82.38,1,004300,45,045,7.4
274,29617,SC,34.91,-82.47,2,003701,45,045,10.6
275,29620,SC,34.2,-82.4,1,950400,45,001,6.0
276,29651,SC,34.9,-82.2,2,023202,45,083,10.3
277,29681,SC,34.76,-82.22,2,003009,45,045,7.0
278,29902,SC,32.38,-80.7,2,000800,45,013,19.8
279,30019,GA,34.0,-83.9,5,050607,13,135,7.5
280,30067,GA,33.93,-84.46,2,030320,13,067,5.2
281,30114,GA,34.3,-84.5,1,090200,13,057,9.3
282,30124,GA,34.14,-85.35,1,002000,13,115,12.1
283,30145,GA,34.2,-85.0,1,961000,13,015,
284,30284,GA,33.41,-84.3,1,070501,13,151,6.8
285,30309,GA,33.8,-84.39,1,000500,13,121,4.7
286,30319,GA,33.86,-84.35,2,010002,13,121,8.3
287,30328,GA,33.93,-84.4,1,010205,13,121,3.0
288,30622,GA,33.9,-83.5,1,030100,13,219,10.3
289,30736,GA,34.9,-85.1,1,030100,13,047,9.1
290,31088,GA,32.58,-83.65,1,021105,13,153,19.4
291,31220,GA,32.88,-83.81,1,013605,13,021,11.1
292,31324,GA,31.9,-81.3,1,920306,13,029,15.8
293,32059,FL,30.4,-83.3,1,110400,12,079,6.0
294,32082,FL,30.1,-81.4,1,020602,12,109,12.6
295,32092,FL,29.9,-81.5,2,021004,12,109,14.3
296,32129,FL,29.13,-81.02,1,082506,12,127,17.4
297,32259,FL,30.1,-81.6,1,020805,12,109,12.7
298,32303,FL,30.52,-84.33,1,002208,12,073,8.2
299,32401,FL,30.16,-85.67,1,002200,12,005,12.1
300,32536,FL,30.7,-86.7,1,020100,12,091,16.1
301,32708,FL,28.68,-81.27,1,021403,12,117,7.1
302,32714,FL,28.67,-81.42,25,021606,12,117,5.2
303,32746,FL,28.76,-81.36,1,020805,12,117,9.0
304,32751,FL,28.63,-81.36,1,015601,12,095,7.5
305,32836,FL,28.41,-81.52,1,017108,12,095,7.3
306,32934,FL,28.15,-80.73,2,071301,12,009,12.4
307,32952,FL,28.3,-80.7,1,062800,12,009,19.5
308,33160,FL,25.94,-80.14,3,000132,12,086,2.5
309,33186,FL,25.66,-80.41,1,018900,12,086,3.3
