,ZIP,State,Lat,Lng,Size,Tract,State_code,County,health_insurance,private,public
90,14625,NY,43.15,-77.51,1,011604,36,055,99.3,83.1,44.0
91,14850,NY,42.4,-76.5,5,001100,36,109,94.9,84.2,19.9
92,14882,NY,42.6,-76.6,1,002300,36,109,95.6,74.0,30.9
93,15010,PA,40.8,-80.4,4,605300,42,007,94.3,74.2,38.3
94,15061,PA,40.66,-80.34,1,605500,42,007,97.5,79.8,33.6
95,15090,PA,40.63,-80.08,1,410000,42,003,98.4,93.4,26.5
96,15102,PA,40.32,-80.04,1,475301,42,003,96.8,83.3,32.9
97,15137,PA,40.38,-79.81,2,564400,42,003,94.8,78.0,35.3
98,15202,PA,40.5,-80.08,1,461000,42,003,92.4,73.5,39.8
99,15220,PA,40.44,-80.04,1,562600,42,003,95.6,69.7,40.2
100,15222,PA,40.45,-79.99,1,020300,42,003,98.6,89.2,11.6
101,15228,PA,40.37,-80.05,1,473500,42,003,98.7,94.6,18.1
102,15234,PA,40.37,-80.02,1,476100,42,003,94.9,77.9,34.8
103,15701,PA,40.6,-79.1,1,960800,42,063,97.4,81.9,35.8
104,16002,PA,40.8,-79.9,2,911600,42,019,93.2,81.2,28.0
105,16602,PA,40.51,-78.37,1,010600,42,013,95.4,75.7,38.8
106,16870,PA,40.8,-78.1,1,010500,42,027,93.0,78.5,30.7
107,17112,PA,40.4,-76.8,1,024600,42,043,96.4,89.7,22.9
108,17325,PA,39.8,-77.2,1,031201,42,001,97.8,87.6,35.3
109,17543,PA,40.2,-76.3,1,010201,42,071,83.9,71.9,23.9
110,17728,PA,41.4,-77.1,1,010400,42,081,94.1,78.7,32.2
111,17754,PA,41.29,-76.88,1,010500,42,081,95.8,80.9,32.8
112,17870,PA,40.82,-76.88,1,070200,42,109,88.3,74.1,29.8
113,18036,PA,40.5,-75.4,2,006905,42,077,98.7,93.3,17.1
114,18042,PA,40.65,-75.22,1,018100,42,095,97.3,82.5,35.5
115,18103,PA,40.57,-75.48,1,001402,42,077,86.6,70.7,34.8
