,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
20,71105,LA,32.45,-93.71,1,023000,22,017,92.2,5.0,0.0,0.2,2.1,0.5
21,72701,AR,36.0,-94.1,1,011102,05,143,85.2,9.9,0.0,0.4,0.0,4.5
22,73034,OK,35.72,-97.43,1,108106,40,109,82.8,4.8,0.0,0.3,1.3,10.9
23,74114,OK,36.13,-95.95,1,004200,40,143,86.8,3.9,0.0,0.6,2.4,6.4
24,75034,TX,33.12,-96.88,2,021522,48,121,83.0,7.6,0.2,0.0,0.4,8.8
25,75862,TX,31.0,-95.4,1,950300,48,455,90.4,7.0,0.0,0.0,0.0,2.6
26,76013,TX,32.72,-97.16,2,111506,48,439,86.8,6.3,0.2,0.6,0.9,5.2
27,76433,TX,32.3,-98.0,1,950100,48,143,85.5,10.2,0.0,0.0,0.0,4.3
28,77084,TX,29.83,-95.66,1,541700,48,201,87.4,5.9,0.2,2.3,0.6,3.6
29,77584,TX,29.54,-95.35,2,660702,48,039,85.9,8.4,0.0,0.0,0.0,5.7
30,78070,TX,29.9,-98.4,1,310605,48,091,80.7,8.8,0.0,0.0,2.2,8.3
31,78247,TX,29.57,-98.41,1,121112,48,029,80.9,11.5,5.1,0.0,1.1,
32,78704,TX,30.24,-97.75,2,002308,48,453,67.5,8.7,5.7,5.6,4.5,8.0
33,78723,TX,30.3,-97.69,1,000306,48,453,72.1,9.3,3.4,1.1,4.0,10.2
34,78746,TX,30.3,-97.81,3,001918,48,453,77.1,2.2,0.0,,1.4,18.4
35,78748,TX,30.16,-97.82,2,002421,48,453,82.3,6.3,1.4,,1.9,7.0
36,78759,TX,30.4,-97.75,1,001722,48,453,80.4,6.4,0.6,1.2,1.4,10.1
37,79087,TX,36.3,-102.9,1,950100,48,111,74.0,11.8,2.1,4.1,1.9,6.2
38,80002,CO,39.79,-105.1,3,010402,08,059,78.0,10.8,3.2,2.4,2.6,3.0
39,80003,CO,39.83,-105.06,4,010209,08,059,87.9,4.9,1.4,1.1,0.0,4.7
40,80004,CO,39.81,-105.12,8,010307,08,059,84.4,8.4,0.4,2.0,0.4,4.4
41,80007,CO,39.87,-105.22,3,060500,08,059,84.6,3.4,1.8,0.6,0.4,9.2
42,80012,CO,39.7,-104.84,2,080800,08,005,68.4,15.2,9.0,2.2,2.7,2.4
43,80013,CO,39.66,-104.77,1,083400,08,005,81.3,5.9,1.4,1.0,1.9,8.5
44,80015,CO,39.62,-104.78,4,085500,08,005,78.4,6.1,3.7,0.3,1.2,10.2
45,80016,CO,39.6,-104.74,3,085200,08,005,80.5,4.6,1.1,,1.3,12.3
46,80020,CO,39.92,-105.08,6,030000,08,014,77.7,10.7,5.5,2.8,0.5,2.8
47,80021,CO,39.9,-105.12,2,060500,08,059,84.6,3.4,1.8,0.6,0.4,9.2
48,80022,CO,39.9,-104.8,2,008538,08,001,69.6,16.5,2.4,0.5,1.8,9.3
49,80026,CO,40.02,-105.1,8,012800,08,013,76.9,7.4,2.6,1.3,1.1,
50,80031,CO,39.88,-105.04,2,009410,08,001,79.1,4.7,5.1,0.0,0.0,11.1
51,80033,CO,39.77,-105.1,3,010502,08,059,76.5,11.6,6.6,0.5,1.5,3.3
52,80104,CO,39.3,-104.8,7,014506,08,035,75.1,6.4,0.0,0.0,2.7,15.9
53,80106,CO,39.1,-104.5,2,003909,08,041,80.1,10.4,0.0,0.7,2.2,6.6
54,80108,CO,39.45,-104.85,6,014012,08,035,79.5,,0.6,0.0,0.0,10.5
55,80109,CO,39.3,-104.9,4,014403,08,035,73.3,9.2,0.3,2.1,0.5,14.5
56,80111,CO,39.63,-104.87,2,006854,08,005,76.1,8.3,7.6,0.6,0.0,7.5
57,80112,CO,39.56,-104.87,1,014001,08,035,81.1,4.1,4.6,0.8,2.1,7.2
58,80118,CO,39.2,-104.9,2,014403,08,035,73.3,9.2,0.3,2.1,0.5,14.5
59,80121,CO,39.61,-104.96,2,005636,08,005,80.2,5.7,0.0,0.7,1.1,12.3
60,80123,CO,39.61,-105.06,7,012050,08,059,83.3,8.4,0.8,0.0,0.7,6.9
