,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
251,28204,NC,35.22,-80.83,1,002500,37,119,75.8,6.1,1.8,4.2,2.8,9.4
252,28216,NC,35.31,-80.9,1,006104,37,119,87.3,10.5,0.3,0.1,0.0,1.9
253,28226,NC,35.11,-80.83,1,003008,37,119,83.1,6.4,0.9,0.0,0.9,8.5
254,28278,NC,35.1,-81.0,2,005910,37,119,82.9,9.4,0.5,1.7,0.3,5.2
255,28692,NC,36.3,-81.8,1,920200,37,189,82.6,13.7,0.0,1.2,0.4,2.1
256,28704,NC,35.46,-82.57,1,002301,37,021,86.4,10.1,0.0,0.8,0.5,2.1
257,28705,NC,36.0,-82.2,1,950200,37,121,94.0,2.0,0.0,1.7,0.0,2.4
258,28711,NC,35.6,-82.3,1,003102,37,021,80.2,4.7,0.6,3.4,2.6,8.4
259,28714,NC,35.9,-82.3,1,960300,37,199,78.1,14.8,0.0,3.5,0.5,3.1
260,28779,NC,35.3,-83.2,1,950600,37,099,70.7,8.7,0.7,15.6,0.5,3.8
261,28787,NC,35.7,-82.5,1,002703,37,021,79.0,6.1,0.0,0.8,0.0,14.0
262,28805,NC,35.62,-82.49,2,003001,37,021,75.7,8.8,0.0,3.2,1.1,11.1
263,28806,NC,35.6,-82.6,1,001400,37,021,68.0,21.6,0.6,0.7,1.0,8.1
264,29201,SC,33.98,-81.02,1,011701,45,079,80.8,13.4,2.1,2.6,0.7,0.4
265,29401,SC,32.78,-79.93,1,005100,45,019,60.3,7.4,2.6,12.6,7.3,9.9
266,29464,SC,32.82,-79.86,1,004606,45,019,76.2,9.2,1.0,1.1,1.1,11.4
267,29576,SC,33.56,-79.08,1,920502,45,043,87.7,2.5,0.0,0.5,0.9,8.4
268,29607,SC,34.84,-82.38,1,004300,45,045,77.6,10.3,6.0,3.5,1.8,0.8
269,29617,SC,34.91,-82.47,2,003701,45,045,86.8,6.6,0.6,0.6,1.3,4.0
270,29620,SC,34.2,-82.4,1,950400,45,001,69.0,13.4,0.0,1.8,0.6,15.3
271,29651,SC,34.9,-82.2,2,023202,45,083,88.7,9.5,0.1,0.0,1.6,0.0
272,29681,SC,34.76,-82.22,2,003009,45,045,84.1,6.8,0.0,0.3,0.0,8.7
273,29902,SC,32.38,-80.7,2,000800,45,013,82.3,13.9,0.0,2.1,0.4,1.3
274,30019,GA,34.0,-83.9,5,050607,13,135,82.8,8.6,0.5,0.0,0.7,7.4
275,30067,GA,33.93,-84.46,2,030320,13,067,85.5,5.1,0.0,1.0,0.5,7.8
276,30114,GA,34.3,-84.5,1,090200,13,057,84.6,9.0,0.5,1.2,0.4,4.3
277,30124,GA,34.14,-85.35,1,002000,13,115,85.7,6.6,0.0,1.9,0.5,5.3
278,30145,GA,34.2,-85.0,1,961000,13,015,85.9,6.0,0.0,0.5,1.8,5.8
279,30284,GA,33.41,-84.3,1,070501,13,151,62.5,21.7,0.5,0.6,0.7,14.0
280,30309,GA,33.8,-84.39,1,000500,13,121,63.1,3.2,2.9,9.1,5.0,16.7
281,30319,GA,33.86,-84.35,2,010002,13,121,83.7,0.6,0.8,2.0,1.2,11.7
282,30328,GA,33.93,-84.4,1,010205,13,121,84.3,2.2,2.1,0.7,1.5,9.2
283,30622,GA,33.9,-83.5,1,030100,13,219,83.0,9.6,0.0,0.3,0.7,6.3
284,30736,GA,34.9,-85.1,1,030100,13,047,89.2,7.4,0.2,1.0,0.7,1.6
285,31088,GA,32.58,-83.65,1,021105,13,153,80.6,17.4,0.0,1.3,0.4,0.4
286,31220,GA,32.88,-83.81,1,013605,13,021,84.7,7.8,0.0,0.0,0.0,7.5
287,31324,GA,31.9,-81.3,1,920306,13,029,87.5,6.3,0.0,2.2,0.9,3.2
288,32059,FL,30.4,-83.3,1,110400,12,079,86.2,5.2,0.0,0.9,4.0,3.8
289,32082,FL,30.1,-81.4,1,020602,12,109,79.1,5.6,0.2,0.0,2.0,13.1
290,32092,FL,29.9,-81.5,2,021004,12,109,79.4,9.1,0.0,2.7,0.8,8.0
291,32129,FL,29.13,-81.02,1,082506,12,127,79.2,11.1,0.0,2.9,1.1,5.7
292,32259,FL,30.1,-81.6,1,020805,12,109,82.2,5.9,0.0,0.8,3.3,7.7
293,32303,FL,30.52,-84.33,1,002208,12,073,88.9,6.9,0.0,0.7,2.3,1.2
294,32401,FL,30.16,-85.67,1,002200,12,005,81.2,11.7,3.5,0.0,3.6,0.0
295,32536,FL,30.7,-86.7,1,020100,12,091,86.1,5.4,0.0,0.4,3.5,4.7
296,32708,FL,28.68,-81.27,1,021403,12,117,81.0,9.3,0.0,0.3,1.0,8.3
297,32714,FL,28.67,-81.42,25,021606,12,117,85.5,5.4,0.0,0.0,3.5,5.6
298,32746,FL,28.76,-81.36,1,020805,12,117,76.9,12.7,0.9,0.4,1.0,8.0
299,32751,FL,28.63,-81.36,1,015601,12,095,78.4,10.0,2.3,0.6,0.6,8.2
300,32836,FL,28.41,-81.52,1,017108,12,095,78.7,4.6,0.5,1.6,1.1,13.6
301,32934,FL,28.15,-80.73,2,071301,12,009,83.6,5.0,0.0,0.0,1.1,10.2
302,32952,FL,28.3,-80.7,1,062800,12,009,72.4,8.7,0.0,2.2,6.1,10.6
303,33160,FL,25.94,-80.14,3,000132,12,086,78.3,6.9,1.4,0.0,2.7,10.7
304,33186,FL,25.66,-80.41,1,018900,12,086,83.3,9.9,0.5,1.1,2.0,3.4
305,33311,FL,26.13,-80.16,1,041500,12,011,55.9,23.2,12.9,3.7,4.3,0.0
306,33328,FL,26.07,-80.27,1,070209,12,011,91.3,3.6,0.7,0.0,0.0,4.4
307,33332,FL,26.04,-80.47,1,980000,12,011,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
308,33405,FL,26.68,-80.06,1,003300,12,099,76.9,11.6,0.0,6.1,2.6,2.8
309,33527,FL,27.97,-82.22,1,012402,12,057,71.3,18.9,1.4,1.0,0.0,7.4
310,33538,FL,28.8,-82.2,1,451000,12,017,82.6,9.2,0.0,0.0,3.4,4.9
