,_1,_2,_3,_4,_5,_6,_7,_8
275,37203,TN,36.15,-86.79,1,016300,47,037
276,37205,TN,36.11,-86.87,1,018203,47,037
277,37212,TN,36.13,-86.8,3,016900,47,037
278,37221,TN,36.06,-86.96,1,018407,47,037
279,37388,TN,35.3,-86.2,1,960201,47,051
280,37604,TN,36.3,-82.38,1,060502,47,179
281,37694,TN,36.38,-82.28,1,071100,47,019
282,37774,TN,35.7,-84.4,1,060700,47,105
283,37830,TN,36.0,-84.3,1,020100,47,001
284,38011,TN,35.5,-89.7,1,040500,47,167
285,38138,TN,35.08,-89.79,1,021341,47,157
286,38231,TN,36.22,-88.42,1,969800,47,079
287,38871,MS,34.33,-89.19,1,950200,28,115
288,39090,MS,33.1,-89.5,1,060100,28,007
289,40202,KY,38.25,-85.75,1,005900,21,111
290,40218,KY,38.19,-85.66,1,011301,21,111
291,40223,KY,38.26,-85.54,16,010406,21,111
292,40245,KY,38.26,-85.46,2,010307,21,111
293,40258,KY,38.14,-85.86,1,012406,21,111
294,40299,KY,38.2,-85.5,1,011601,21,111
295,40324,KY,38.3,-84.6,1,040603,21,209
296,41005,KY,39.0,-84.8,2,070502,21,015
297,41075,KY,39.08,-84.45,1,052301,21,037
298,42088,KY,36.6,-88.8,1,020500,21,083
299,42101,KY,37.0,-86.5,1,011200,21,227
300,42141,KY,36.9,-85.9,1,950900,21,009
301,43015,OH,40.3,-83.1,1,010520,39,041
302,43055,OH,40.1,-82.4,1,751900,39,089
303,43065,OH,40.17,-83.1,1,011900,39,041
304,43082,OH,40.16,-82.87,1,011750,39,041
305,43085,OH,40.1,-83.01,1,006722,39,049
306,43112,OH,39.8,-82.72,1,030800,39,045
307,43235,OH,40.1,-83.06,1,006387,39,049
308,43571,OH,41.51,-83.81,1,008901,39,095
309,44047,OH,41.7,-80.7,1,001302,39,007
310,44107,OH,41.48,-81.8,1,161300,39,035
311,44120,OH,41.47,-81.58,1,119900,39,035
312,44133,OH,41.31,-81.74,1,175201,39,035
313,44139,OH,41.39,-81.44,1,184104,39,035
314,44140,OH,41.49,-81.92,2,130105,39,035
315,44223,OH,41.17,-81.53,1,532902,39,153
316,44236,OH,41.25,-81.46,1,534000,39,153
317,44312,OH,41.01,-81.44,1,531102,39,153
318,44514,OH,41.01,-80.61,1,811002,39,099
319,44691,OH,40.8,-82.0,1,002000,39,169
320,44705,OH,40.83,-81.34,1,700200,39,151
321,44805,OH,40.9,-82.3,1,970400,39,005
322,45015,OH,39.36,-84.54,1,010906,39,017
323,45040,OH,39.35,-84.3,3,031902,39,165
324,45140,OH,39.26,-84.24,1,040302,39,025
325,45209,OH,39.15,-84.43,1,005301,39,061
326,45214,OH,39.12,-84.55,1,009200,39,061
327,45215,OH,39.24,-84.46,1,022700,39,061
328,45331,OH,40.1,-84.6,4,550100,39,037
329,45338,OH,39.84,-84.57,1,420100,39,135
330,45385,OH,39.7,-83.9,1,240600,39,057
331,45414,OH,39.83,-84.21,1,080500,39,113
332,45424,OH,39.84,-84.11,1,100400,39,113
333,45440,OH,39.67,-84.1,1,220100,39,057
334,45710,OH,39.2,-82.2,1,964300,39,105
335,46123,IN,39.76,-86.39,1,210606,18,063
336,46148,IN,39.82,-85.52,1,976700,18,065
337,46205,IN,39.82,-86.12,1,350500,18,097
338,46219,IN,39.78,-86.05,1,360700,18,097
339,46234,IN,39.81,-86.32,1,340114,18,097
340,46237,IN,39.68,-86.09,1,380902,18,097
341,46250,IN,39.91,-86.07,1,320304,18,097
342,46260,IN,39.9,-86.18,1,320109,18,097
343,46554,IN,41.6,-86.4,1,012000,18,141
344,46637,IN,41.73,-86.24,1,011302,18,141
345,46804,IN,41.05,-85.24,1,011603,18,003
346,47150,IN,38.3,-85.8,1,070302,18,043
347,47203,IN,39.2,-85.8,1,011300,18,005
348,47265,IN,39.0,-85.6,1,960200,18,079
349,47404,IN,39.2,-86.6,1,001305,18,105
350,47710,IN,38.02,-87.58,2,003900,18,163
351,47712,IN,37.9,-87.7,1,010403,18,163
352,47906,IN,40.5,-87.0,3,010201,18,157
353,48069,MI,42.47,-83.14,1,187000,26,125
354,48096,MI,42.76,-82.92,1,216000,26,099
355,48103,MI,42.3,-83.9,2,448000,26,161
356,48105,MI,42.3,-83.7,1,402600,26,161
357,48137,MI,42.5,-84.1,4,732100,26,093
358,48152,MI,42.42,-83.37,2,556800,26,163
359,48158,MI,42.2,-84.0,1,432000,26,161
360,48169,MI,42.5,-83.9,1,743400,26,093
361,48301,MI,42.54,-83.28,1,150900,26,125
362,48307,MI,42.66,-83.12,1,193400,26,125
363,48322,MI,42.54,-83.38,1,157800,26,125
364,48324,MI,42.59,-83.38,1,154500,26,125
365,48357,MI,42.65,-83.64,1,131800,26,125
366,48603,MI,43.47,-84.02,1,010302,26,145
367,48611,MI,43.64,-84.09,2,285600,26,017
368,48823,MI,42.76,-84.44,1,004600,26,065
369,48864,MI,42.71,-84.4,1,004901,26,065
370,48910,MI,42.7,-84.52,1,002901,26,065
371,49024,MI,42.2,-85.62,1,002002,26,077
372,49245,MI,42.1,-84.8,1,003100,26,025
